id  verblearn  anxiety pressure
  1        40        1        1
  2        64        1        1
  3        46        1        1
  4        56        1        1
  5        46        1        1
  6        46        1        1
  7        39        1        1
  8        38        1        1
  9        44        1        1
 10        69        1        1
 11        61        1        2
 12        54        1        2
 13        55        1        2
 14        40        1        2
 15        43        1        2
 16        47        1        2
 17        57        1        2
 18        51        1        2
 19        40        1        2
 20        55        1        2
 21        50        1        3
 22        48        1        3
 23        60        1        3
 24        63        1        3
 25        83        1        3
 26        63        1        3
 27        53        1        3
 28        60        1        3
 29        73        1        3
 30        69        1        3
 31        41        2        1
 32        34        2        1
 33        37        2        1
 34        48        2        1
 35        57        2        1
 36        47        2        1
 37        55        2        1
 38        33        2        1
 39        42        2        1
 40        38        2        1
 41        48        2        2
 42        58        2        2
 43        42        2        2
 44        40        2        2
 45        49        2        2
 46        49        2        2
 47        56        2        2
 48        41        2        2
 49        35        2        2
 50        57        2        2
 51        56        2        3
 52        35        2        3
 53        43        2        3
 54        39        2        3
 55        29        2        3
 56        32        2        3
 57        54        2        3
 58        43        2        3
 59        49        2        3
 60        49        2        3
